step	f1_score
0	0.07292206585407257
1	0.14644205570220947
2	0.2298833578824997
3	0.31127679347991943
4	0.3563535809516907
5	0.37895116209983826
6	0.40247243642807007
7	0.42297598719596863
8	0.4453617036342621
9	0.46582311391830444
10	0.47887757420539856
11	0.4935128390789032
12	0.5111716985702515
13	0.5148358345031738
14	0.5177911520004272
15	0.5306056141853333
16	0.5436949729919434
17	0.5582504868507385
18	0.5535365343093872
19	0.5700787305831909
20	0.571712076663971
21	0.5831676125526428
22	0.5926339030265808
23	0.5878568291664124
24	0.5961340069770813
25	0.603928804397583
26	0.6083967089653015
27	0.6145198345184326
28	0.6223928928375244
29	0.6249722838401794
30	0.6258913278579712
31	0.6302692294120789
32	0.6357911229133606
33	0.6356982588768005
34	0.6396265625953674
35	0.6489230990409851
36	0.6509349942207336
37	0.6580596566200256
38	0.6556851267814636
39	0.6590712070465088
40	0.6660455465316772
41	0.6740757822990417
42	0.6679797768592834
43	0.6743914484977722
44	0.6723785400390625
45	0.6785318851470947
